ID,Actor1ID,Actor2ID,Date,IsRoot,CAMEOCode,BaseCAMEOCode,RootCAMEOCode,CAMEOQuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Geo_Type,Geo_FullName,Geo_CountryCode,Geo_ADMCode,Geo_Lat,Geo_Long,Geo_FeatureID
1021419717,iu+wbEJuB6CmcaHiSItIWNaUpzA=,lo6dMF+1I/g76jFFpKnfsiGHJsY=,2022-01-01,true,112,112,11,3,-2,2,1,2,-8.08080808080804,4,Osaka  Osaka  Japan,JA,JA32 35840,34.6667,135.5,-240905
1021419718,iu+wbEJuB6CmcaHiSItIWNaUpzA=,B/cj/ZBKwZg25yL4/l7C6eQBAHU=,2022-01-01,true,180,180,18,4,-9,4,1,4,-8.08080808080804,4,Kyoto  Kyoto  Japan,JA,JA22 35033,35,135.75,-235402
1021419719,iu+wbEJuB6CmcaHiSItIWNaUpzA=,WqWC+02mUHMFwLMYVJtR99IVm7I=,2022-01-01,true,180,180,18,4,-9,6,1,6,-8.08080808080804,4,Osaka  Osaka  Japan,JA,JA32 35840,34.6667,135.5,-240905
1021419720,iu+wbEJuB6CmcaHiSItIWNaUpzA=,zM88jmRoWBp+TakSYGGPwhCPOaE=,2022-01-01,true,14,14,1,1,0,8,1,8,-4.05405405405406,3,Brooklyn  New York  United States,US,USNY NY025,42.3442,-75.1704,944840
1021419721,iu+wbEJuB6CmcaHiSItIWNaUpzA=,w02Z+k1dn93R3L5L1X+u++fM9aw=,2022-01-01,true,14,14,1,1,0,2,1,2,-4.05405405405406,2,New York  United States,US,USNY,42.1497,-74.9384,NY
1021419722,iu+wbEJuB6CmcaHiSItIWNaUpzA=,QRD2m8GYlUzk+79VIUcSVgjzHIw=,2022-01-01,true,100,100,10,3,-5,12,2,12,1.77213450952301,1,United States,US,US,39.828175,-98.5795,US
1021419723,iu+wbEJuB6CmcaHiSItIWNaUpzA=,/xzlWZvI24j+E79zQR48mMSqRKs=,2022-01-01,false,180,180,18,4,-9,10,1,10,-13.6125654450262,2,Indiana  United States,US,USIN,39.8647,-86.2604,IN
1021419724,iu+wbEJuB6CmcaHiSItIWNaUpzA=,djSrvqGkcl3P5mQel4rDQDZww5I=,2022-01-01,true,42,42,4,1,1.9,6,1,6,3.69318181818181,3,Hollywood  California  United States,US,USCA CA037,34.0983,-118.327,1660757
1021419725,iu+wbEJuB6CmcaHiSItIWNaUpzA=,g+72dxvug/bLZfw7CMsB+Jm+O2g=,2022-01-01,true,841,84,8,2,7,10,1,10,-0.76335877862596,1,United States,US,US,39.828175,-98.5795,US
1021419726,iu+wbEJuB6CmcaHiSItIWNaUpzA=,tXNyV9ZHxX5jYjd7lfMs9qG0jEg=,2022-01-01,false,43,43,4,1,2.8,5,1,5,1.77777777777778,1,Mexico,MX,MX,23,-102,MX
